Time,Altitude,Downrange
2.08,117.58,-0.08
2.08,117.58,-0.08
2.08,117.58,-0.08
2.08,117.58,-0.08
2.08,117.58,-0.08
2.08,117.58,-0.08
2.08,117.58,-0.08
2.08,118.2,-0.08
2.08,118.2,-0.08
2.08,118.2,-0.08
2.08,118.2,-0.08
2.08,118.2,-0.08
2.08,118.2,-0.08
2.08,118.2,-0.08
2.08,118.2,-0.08
2.08,118.2,-0.08
2.08,118.2,-0.08
2.08,118.2,-0.08
2.08,118.2,-0.08
2.08,118.83,-0.08
2.08,118.83,-0.08
2.08,118.83,-0.08
2.08,118.83,-0.08
2.08,118.83,-0.08
2.08,118.83,-0.08
2.08,118.83,-0.08
2.08,118.83,-0.08
2.08,118.83,-0.08
2.08,118.83,-0.08
2.08,118.83,-0.08
2.08,119.47,-0.08
2.08,119.47,-0.08
2.08,119.47,-0.08
2.08,119.47,-0.08
2.08,119.47,-0.08
2.08,119.47,-0.08
2.08,119.47,-0.08
2.08,119.47,-0.08
2.08,119.47,-0.08
2.08,119.47,-0.08
2.08,119.47,-0.08
2.16,120.11,-0.08
2.16,120.11,-0.08
2.16,120.11,-0.08
2.16,120.11,-0.08
2.16,120.11,-0.08
2.16,120.11,-0.08
2.16,120.11,-0.08
2.16,120.11,-0.08
2.16,120.11,-0.08
2.16,120.11,-0.08
2.16,120.11,-0.08
2.16,120.11,-0.08
2.16,120.76,-0.08
2.16,120.76,-0.08
2.16,120.76,-0.08
2.16,120.76,-0.08
2.16,120.76,-0.08
2.16,120.76,-0.08
2.16,120.76,-0.08
2.16,120.76,-0.08
2.16,120.76,-0.08
2.16,120.76,-0.08
2.16,120.76,-0.08
2.16,121.41,-0.08
2.16,121.41,-0.08
2.16,121.41,-0.08
2.16,121.41,-0.08
2.16,121.41,-0.08
2.16,121.41,-0.08
2.16,121.41,-0.08
2.16,121.41,-0.08
2.16,121.41,-0.08
2.16,121.41,-0.08
2.16,121.41,-0.08
2.16,122.07,-0.08
2.16,122.07,-0.08
2.16,122.07,-0.08
2.16,122.07,-0.08
2.16,122.07,-0.08
2.16,122.07,-0.08
2.16,122.07,-0.08
2.16,122.07,-0.08
2.16,122.07,-0.08
2.16,122.07,-0.08
2.16,122.07,-0.08
2.24,122.07,-0.08
2.24,122.74,-0.08
2.24,122.74,-0.08
2.24,122.74,-0.08
2.24,122.74,-0.08
