Time,Altitude (m),Downrange (m)
70.89,54931.3,21877.52
70.89,54931.3,21877.52
70.89,54931.3,21877.52
70.89,54931.3,21877.52
70.89,54931.3,21877.52
70.89,54931.3,21877.52
70.89,54931.3,21877.52
70.89,54931.3,21877.52
70.89,54931.3,21877.52
70.89,54931.3,21877.52
70.89,54931.3,21877.52
70.89,54931.3,21877.52
70.89,54960.23,21889.75
70.89,54960.23,21889.75
70.89,54960.23,21889.75
70.89,54960.23,21889.75
70.89,54960.23,21889.75
70.89,54960.23,21889.75
70.89,54960.23,21889.75
70.89,54960.23,21889.75
70.89,54960.23,21889.75
70.89,54960.23,21889.75
70.89,54960.23,21889.75
70.89,54960.23,21889.75
70.89,54960.23,21889.75
70.97,54989.17,21901.89
70.97,54989.17,21901.89
70.97,54989.17,21901.89
70.97,54989.17,21901.89
70.97,54989.17,21901.89
70.97,54989.17,21901.89
70.97,54989.17,21901.89
70.97,54989.17,21901.89
70.97,54989.17,21901.89
70.97,54989.17,21901.89
70.97,54989.17,21901.89
70.97,54989.17,21901.89
70.97,54989.17,21901.89
70.97,55018.1,21914.11
70.97,55018.1,21914.11
70.97,55018.1,21914.11
70.97,55018.1,21914.11
70.97,55018.1,21914.11
70.97,55018.1,21914.11
70.97,55018.1,21914.11
70.97,55018.1,21914.11
70.97,55018.1,21914.11
70.97,55018.1,21914.11
70.97,55018.1,21914.11
70.97,55018.1,21914.11
70.97,55018.1,21914.11
70.97,55047.03,21926.26
70.97,55047.03,21926.26
70.97,55047.03,21926.26
70.97,55047.03,21926.26
70.97,55047.03,21926.26
70.97,55047.03,21926.26
70.97,55047.03,21926.26
70.97,55047.03,21926.26
70.97,55047.03,21926.26
70.97,55047.03,21926.26
70.97,55047.03,21926.26
70.97,55047.03,21926.26
70.97,55047.03,21926.26
70.97,55075.95,21938.4
70.97,55075.95,21938.4
70.97,55075.95,21938.4
70.97,55075.95,21938.4
70.97,55075.95,21938.4
70.97,55075.95,21938.4
70.97,55075.95,21938.4
70.97,55075.95,21938.4
70.97,55075.95,21938.4
70.97,55075.95,21938.4
70.97,55075.95,21938.4
70.97,55075.95,21938.4
70.97,55075.95,21938.4
71.05,55104.87,21950.63
71.05,55104.87,21950.63
71.05,55104.87,21950.63
71.05,55104.87,21950.63
71.05,55104.87,21950.63
71.05,55104.87,21950.63
71.05,55104.87,21950.63
71.05,55104.87,21950.63
71.05,55104.87,21950.63
71.05,55104.87,21950.63
71.05,55104.87,21950.63
71.05,55104.87,21950.63
71.05,55104.87,21950.63
71.05,55133.79,21962.77
71.05,55133.79,21962.77
71.05,55133.79,21962.77
71.05,55133.79,21962.77
71.05,55133.79,21962.77
71.05,55133.79,21962.77
71.05,55133.79,21962.77
71.05,55133.79,21962.77
71.05,55133.79,21962.77
71.05,55133.79,21962.77
71.05,55133.79,21962.77
71.05,55133.79,21962.77
71.05,55133.79,21962.77
71.05,55162.71,21974.99
71.05,55162.71,21974.99
71.05,55162.71,21974.99
71.05,55162.71,21974.99
71.05,55162.71,21974.99
71.05,55162.71,21974.99
71.05,55162.71,21974.99
71.05,55162.71,21974.99
71.05,55162.71,21974.99
71.05,55162.71,21974.99
71.05,55162.71,21974.99
71.05,55162.71,21974.99
71.05,55162.71,21987.14
71.05,55191.62,21987.14
71.05,55191.62,21987.14
71.05,55191.62,21987.14
71.05,55191.62,21987.14
71.05,55191.62,21987.14
71.05,55191.62,21987.14
71.05,55191.62,21987.14
71.05,55191.62,21987.14
71.05,55191.62,21987.14
71.05,55191.62,21987.14
71.05,55191.62,21987.14
71.05,55191.62,21987.14
71.13,55220.53,21999.28
71.13,55220.53,21999.28
71.13,55220.53,21999.28
71.13,55220.53,21999.28
71.13,55220.53,21999.28
71.13,55220.53,21999.28
71.13,55220.53,21999.28
71.13,55220.53,21999.28
71.13,55220.53,21999.28
71.13,55220.53,21999.28
71.13,55220.53,21999.28
71.13,55220.53,21999.28
71.13,55220.53,21999.28
71.13,55249.44,22011.43
71.13,55249.44,22011.43
71.13,55249.44,22011.43
71.13,55249.44,22011.43
71.13,55249.44,22011.43
71.13,55249.44,22011.43
71.13,55249.44,22011.43
71.13,55249.44,22011.43
71.13,55249.44,22011.43
71.13,55249.44,22011.43
71.13,55249.44,22011.43
71.13,55249.44,22011.43
71.13,55249.44,22011.43
71.13,55278.34,22023.65
71.13,55278.34,22023.65
71.13,55278.34,22023.65
71.13,55278.34,22023.65
71.13,55278.34,22023.65
71.13,55278.34,22023.65
71.13,55278.34,22023.65
71.13,55278.34,22023.65
71.13,55278.34,22023.65
71.13,55278.34,22023.65
71.13,55278.34,22023.65
71.13,55278.34,22023.65
71.13,55278.34,22023.65
71.13,55307.24,22035.79
71.13,55307.24,22035.79
71.13,55307.24,22035.79
71.13,55307.24,22035.79
71.13,55307.24,22035.79
71.13,55307.24,22035.79
71.13,55307.24,22035.79
71.13,55307.24,22035.79
71.13,55307.24,22035.79
71.13,55307.24,22035.79
71.13,55307.24,22035.79
71.13,55307.24,22035.79
71.13,55307.24,22035.79
71.21,55336.14,22047.94
71.21,55336.14,22047.94
71.21,55336.14,22047.94
71.21,55336.14,22047.94
71.21,55336.14,22047.94
71.21,55336.14,22047.94
71.21,55336.14,22047.94
71.21,55336.14,22047.94
71.21,55336.14,22047.94
71.21,55336.14,22047.94
71.21,55336.14,22047.94
71.21,55336.14,22047.94
71.21,55336.14,22047.94
71.21,55365.04,22060.08
71.21,55365.04,22060.08
71.21,55365.04,22060.08
71.21,55365.04,22060.08
71.21,55365.04,22060.08
71.21,55365.04,22060.08
71.21,55365.04,22060.08
71.21,55365.04,22060.08
71.21,55365.04,22060.08
71.21,55365.04,22060.08
71.21,55365.04,22060.08
71.21,55365.04,22060.08
71.21,55365.04,22060.08
71.21,55393.93,22072.31
71.21,55393.93,22072.31
71.21,55393.93,22072.31
71.21,55393.93,22072.31
71.21,55393.93,22072.31
71.21,55393.93,22072.31
71.21,55393.93,22072.31
71.21,55393.93,22072.31
71.21,55393.93,22072.31
71.21,55393.93,22072.31
71.21,55393.93,22072.31
71.21,55393.93,22072.31
71.21,55393.93,22072.31
71.21,55422.82,22084.45
71.21,55422.82,22084.45
71.21,55422.82,22084.45
71.21,55422.82,22084.45
71.21,55422.82,22084.45
